 ,Value
1,804.537
2,845.268
3,886.049
4,890.427
5,906.537
6,913.854
7,921.378
8,933.415
9,934.537
10,939.134
11,932.622
12,935.293
13,940.854
14,945.866
15,941.110
16,943.098
17,947.707
18,955.512
19,949.817
20,950.402
21,954.732
22,951.854
23,951.110
24,947.232
25,959.341
26,970.268
27,966.256
28,966.293
29,953.524
30,961.695
31,957.037
32,962.085
33,959.622
34,963.817
35,967.463
36,972.049
37,968.146
38,981.500
39,971.122
40,979.695
41,967.671
42,978.134
43,971.146
44,972.671
45,982.268
46,980.744
47,982.134
48,981.841
49,975.427
50,983.732
51,982.341
52,978.768
53,985.451
54,986.122
55,991.927
56,988.024
57,989.878
58,993.256
59,978.951
60,993.354
61,979.780
62,988.890
63,987.159
64,991.939
65,988.598
66,988.500
67,985.671
68,996.171
69,992.768
70,985.378
71,969.085
72,989.305
73,988.817
74,988.744
75,992.805
76,986.244
77,989.756
78,998.329
79,992.549
80,997.171
81,992.744
82,1000.829
83,989.390
84,1001.854
85,997.463
86,991.476
87,1000.902
88,992.720
89,996.744
90,996.963
91,999.378
92,995.537
93,1006.976
94,1007.488
95,1006.341
96,1008.744
97,1005.561
98,1002.634
99,1015.159
100,1007.659
101,1012.098
102,1016.549
103,1008.902
104,1016.732
105,1014.171
106,1015.171
107,1003.976
108,1021.122
109,1006.488
110,1006.634
111,1015.512
112,1013.817
113,1003.171
114,1022.634
115,1010.061
116,1015.549
117,1009.293
118,1015.488
119,1024.049
120,1013.829
121,1010.268
122,1022.415
123,1019.317
124,1030.549
125,1016.780
126,1020.951
127,1024.354
128,1027.451
129,1025.744
130,1023.037
131,1011.354
132,1004.390
133,1019.476
134,1024.744
135,1021.915
136,1023.866
137,1027.878
138,1025.341
139,1026.098
140,1028.159
141,1028.976
142,1028.134
143,1028.110
144,1024.171
145,1025.793
146,1041.171
147,1036.439
148,1021.293
149,1035.720
150,1044.585
151,1034.866
152,1031.988
153,1034.098
154,1030.780
155,1032.720
156,1033.061
157,1041.037
158,1028.037
159,1042.341
160,1046.427
161,1032.500
162,1041.000
163,1041.537
164,1043.171
165,1042.951
166,1044.085
167,1042.012
168,1038.451
169,1049.841
170,1041.488
171,1042.829
172,1044.939
173,1046.598
174,1036.537
175,1043.683
176,1048.171
177,1044.720
178,1048.146
179,1045.866
180,1050.232
181,1048.963
182,1059.646
183,1051.915
184,1052.976
185,1057.171
186,1062.207
187,1055.793
188,1058.720
189,1060.024
190,1057.329
191,1058.232
192,1057.049
193,1056.159
194,1059.000
195,1064.951
196,1064.841
197,1066.976
198,1058.598
199,1057.317
200,1060.622
201,1072.293
202,1057.110
203,1059.976
204,1060.793
205,1070.439
206,1063.317
207,1067.951
208,1073.024
209,1072.988
210,1077.598
211,1060.073
212,1069.402
213,1070.476
214,1068.756
215,1071.293
216,1069.744
217,1076.561
218,1081.878
219,1084.146
220,1081.280
221,1073.159
222,1078.829
223,1075.976
224,1075.171
225,1083.646
226,1085.524
227,1081.244
228,1084.622
229,1087.000
230,1087.037
231,1087.268
232,1077.232
233,1071.585
234,1081.695
235,1090.866
236,1080.244
237,1088.927
238,1090.329
239,1081.415
240,1080.415
241,1082.793
242,1088.598
243,1094.146
244,1088.500
245,1086.744
246,1089.329
247,1091.244
248,1087.280
249,1085.634
250,1087.476
251,1095.122
252,1087.780
253,1101.549
254,1106.390
255,1099.049
256,1097.732
257,1096.890
258,1101.183
259,1103.134
260,1106.061
261,1101.012
262,1101.085
263,1099.012
264,1095.512
265,1101.939
266,1097.561
267,1107.512
268,1108.500
269,1110.890
270,1110.573
271,1109.024
272,1114.280
273,1104.366
274,1114.634
275,1107.171
276,1113.707
277,1103.756
278,1113.012
279,1116.280
280,1109.683
281,1107.622
282,1116.268
283,1116.305
284,1110.927
285,1112.659
286,1103.220
287,1119.902
288,1112.780
289,1116.073
290,1121.110
291,1121.817
292,1124.207
293,1125.598
294,1128.329
295,1116.963
296,1125.549
297,1125.707
298,1131.646
299,1127.232
300,1125.817
301,1132.878
302,1120.683
303,1126.866
304,1129.463
305,1124.146
306,1133.488
307,1142.780
308,1133.037
309,1132.659
310,1119.634
311,1134.134
312,1130.354
313,1137.463
314,1132.329
315,1139.793
316,1134.780
317,1121.329
318,1132.354
319,1136.963
320,1140.927
321,1131.146
322,1138.720
323,1130.195
324,1138.122
325,1144.524
326,1137.549
327,1142.317
328,1142.329
329,1143.793
330,1140.866
331,1135.012
332,1138.720
333,1135.134
334,1146.610
335,1149.134
336,1140.451
337,1142.146
338,1150.988
339,1141.207
340,1147.829
341,1152.512
342,1152.512
343,1153.793
344,1143.732
345,1153.915
346,1157.280
347,1153.683
348,1139.622
349,1154.232
350,1148.207
351,1158.573
352,1155.159
353,1150.244
354,1154.183
355,1154.415
356,1154.378
357,1155.012
358,1151.232
359,1161.500
360,1151.378
361,1153.537
362,1152.146
363,1153.085
364,1160.561
365,1155.598
366,1158.134
367,1159.451
368,1161.671
369,1160.805
370,1166.146
371,1153.427
372,1168.244
373,1162.085
374,1166.427
375,1167.841
376,1168.012
377,1174.524
378,1170.963
379,1173.293
380,1172.122
381,1165.805
382,1170.402
383,1183.329
384,1181.598
385,1182.073
386,1177.012
387,1173.854
388,1166.598
389,1176.159
390,1187.500
391,1181.134
392,1178.268
393,1187.951
394,1185.500
395,1186.780
396,1176.232
397,1188.585
398,1177.098
399,1185.183
400,1187.122
401,1184.451
402,1186.439
403,1187.927
404,1186.561
405,1196.463
406,1191.220
407,1198.280
408,1189.659
409,1185.183
410,1187.073
411,1193.866
412,1193.085
413,1187.085
414,1193.829
415,1188.024
416,1195.220
417,1194.915
418,1193.232
419,1198.317
420,1201.878
421,1208.817
422,1206.805
423,1197.317
424,1198.366
425,1196.927
426,1207.817
427,1205.902
428,1203.207
429,1205.561
430,1197.146
431,1201.451
432,1205.610
433,1210.976
434,1209.171
435,1210.341
436,1205.561
437,1204.988
438,1214.659
439,1219.780
440,1204.000
441,1207.293
442,1207.049
443,1207.512
444,1210.976
445,1204.207
446,1205.805
447,1208.329
448,1218.732
449,1210.463
450,1209.378
451,1217.268
452,1207.232
453,1215.268
454,1211.171
455,1212.427
456,1211.451
457,1205.354
458,1194.171
459,1204.378
460,1193.634
461,1199.610
462,1216.049
463,1214.000
464,1220.146
465,1206.000
466,1218.683
467,1205.037
468,1204.402
469,1206.988
470,1205.110
471,1212.402
472,1206.988
473,1204.744
474,1211.061
475,1222.085
476,1226.268
477,1216.585
478,1220.268
479,1212.780
480,1216.354
481,1220.329
482,1215.549
483,1223.878
484,1232.793
485,1224.976
486,1223.744
487,1226.024
488,1231.293
489,1233.829
490,1242.427
491,1236.305
492,1235.439
493,1244.134
494,1241.451
495,1238.671
496,1235.024
497,1240.866
498,1243.939
499,1238.415
500,1253.915
501,1241.122
502,1248.354
503,1250.768
504,1253.232
505,1241.829
506,1245.293
507,1249.915
508,1242.549
509,1246.561
510,1254.317
511,1256.341
512,1250.024
513,1259.134
514,1259.305
515,1258.646
516,1264.683
517,1274.585
518,1257.305
519,1265.171
520,1261.366
521,1259.244
522,1258.366
523,1252.988
524,1263.293
525,1267.012
526,1273.646
527,1262.927
528,1269.049
529,1271.146
530,1278.378
531,1262.305
532,1270.671
533,1265.024
534,1272.646
535,1271.232
536,1275.122
537,1270.317
538,1275.378
539,1279.280
540,1281.646
541,1282.866
542,1278.366
543,1290.976
544,1279.012
545,1275.622
546,1286.841
547,1285.768
548,1288.427
549,1278.951
550,1276.378
551,1291.756
552,1277.378
553,1275.098
554,1287.610
555,1285.268
556,1286.841
557,1276.585
558,1288.305
559,1271.256
560,1284.085
561,1286.549
562,1288.476
563,1288.488
564,1297.134
565,1288.244
566,1289.854
567,1290.378
568,1298.354
569,1288.512
570,1296.293
571,1301.890
572,1293.768
573,1299.744
574,1296.000
575,1300.171
576,1293.049
577,1295.171
578,1298.561
579,1291.098
580,1293.012
581,1305.146
582,1304.329
583,1301.366
584,1293.110
585,1302.329
586,1308.988
587,1308.841
588,1300.354
589,1307.939
590,1302.720
591,1305.610
592,1298.366
593,1302.634
594,1300.268
595,1311.110
596,1303.598
597,1305.488
598,1316.476
599,1316.122
600,1308.915
601,1312.988
602,1320.354
603,1306.805
604,1322.890
605,1311.939
606,1324.695
607,1309.146
608,1311.268
609,1308.841
610,1319.695
611,1318.598
612,1307.537
613,1319.012
614,1315.854
615,1326.024
616,1317.341
617,1320.805
618,1325.634
619,1322.049
620,1324.768
621,1315.390
622,1319.768
623,1321.122
624,1313.646
625,1325.463
626,1327.890
627,1315.390
628,1320.500
629,1328.220
630,1327.500
631,1336.829
632,1317.659
633,1326.354
634,1319.159
635,1332.683
636,1335.878
637,1329.780
638,1341.793
639,1337.439
640,1334.268
641,1326.524
642,1334.963
643,1327.000
644,1331.902
645,1329.476
646,1332.695
647,1347.439
648,1340.049
649,1336.671
650,1333.085
651,1337.585
652,1332.683
653,1331.817
654,1330.146
655,1333.890
656,1348.671
657,1344.037
658,1347.390
659,1334.512
660,1333.902
661,1350.512
662,1344.159
663,1347.780
664,1359.073
665,1340.134
666,1341.988
667,1342.610
668,1349.427
669,1344.793
670,1354.463
671,1348.390
672,1349.427
673,1354.207
674,1354.646
675,1353.317
676,1348.841
677,1347.671
678,1354.061
679,1361.268
680,1360.451
681,1355.890
682,1340.683
683,1347.085
684,1361.341
685,1368.146
686,1355.122
687,1363.646
688,1365.951
689,1351.622
690,1351.622
691,1358.451
692,1366.000
693,1367.939
694,1355.110
695,1355.902
696,1368.232
697,1360.463
698,1362.915
699,1365.902
700,1374.415
701,1352.451
702,1355.805
703,1365.963
704,1361.854
705,1365.622
706,1371.049
707,1361.512
708,1362.012
709,1364.915
710,1368.915
711,1376.341
712,1364.402
713,1364.732
714,1363.317
715,1367.500
716,1365.598
717,1362.756
718,1373.000
719,1372.744
720,1365.927
721,1368.354
722,1372.488
723,1374.378
724,1379.756
725,1365.378
726,1368.317
727,1372.671
728,1376.451
729,1379.317
730,1376.768
731,1377.476
732,1378.402
733,1381.073
734,1374.512
735,1377.549
736,1386.037
737,1387.829
738,1381.390
739,1384.817
740,1383.537
741,1380.951
742,1370.768
743,1380.720
744,1386.159
745,1382.317
746,1378.976
747,1380.829
748,1385.683
749,1376.293
750,1387.537
751,1371.976
752,1384.659
753,1376.768
754,1387.171
755,1390.793
756,1377.610
757,1393.110
758,1388.939
759,1389.171
760,1382.927
761,1385.854
762,1384.500
763,1391.793
764,1387.841
765,1393.878
766,1386.220
767,1379.159
768,1387.817
769,1403.817
770,1392.793
771,1394.768
772,1393.659
773,1396.634
774,1394.671
775,1389.902
776,1398.561
777,1391.732
778,1396.878
779,1397.122
780,1393.793
781,1394.049
782,1398.878
783,1399.146
784,1386.549
785,1395.744
786,1401.878
787,1392.134
788,1404.268
789,1399.915
790,1398.561
791,1405.220
792,1391.841
793,1399.049
794,1391.207
795,1413.415
796,1395.037
797,1402.305
798,1404.610
799,1392.634
800,1399.463
801,1391.841
802,1399.390
803,1394.866
804,1396.378
805,1400.402
806,1404.573
807,1405.780
808,1403.610
809,1401.451
810,1394.976
811,1402.463
812,1408.561
813,1408.098
814,1408.598
815,1394.073
816,1398.963
817,1405.512
818,1405.988
819,1413.524
820,1400.341
821,1396.524
822,1397.439
823,1403.927
824,1407.146
825,1400.463
826,1403.780
827,1404.220
828,1395.695
829,1402.183
830,1409.634
831,1402.463
832,1409.585
833,1410.195
834,1405.866
835,1401.183
836,1414.878
837,1416.646
838,1393.220
839,1413.695
840,1406.061
841,1404.890
842,1417.134
843,1410.085
844,1407.207
845,1407.793
846,1407.976
847,1398.780
848,1400.085
849,1394.488
850,1403.598
851,1403.256
852,1403.000
853,1418.402
854,1402.000
855,1403.415
856,1404.598
857,1408.476
858,1398.085
859,1410.537
860,1409.488
861,1416.341
862,1410.244
863,1413.927
864,1407.463
865,1403.707
866,1391.622
867,1401.098
868,1415.037
869,1403.256
870,1395.341
871,1404.427
872,1412.378
873,1407.366
874,1413.585
875,1408.610
876,1400.207
877,1391.012
878,1408.000
879,1413.146
880,1404.610
881,1401.890
882,1399.207
883,1400.195
884,1401.244
885,1410.512
886,1408.707
887,1403.915
888,1414.061
889,1414.268
890,1407.220
891,1402.768
892,1410.134
893,1402.939
894,1399.500
895,1402.671
896,1411.000
897,1398.780
898,1406.829
899,1406.939
900,1404.817
901,1399.500
902,1408.378
903,1402.183
904,1408.146
905,1408.927
906,1401.744
907,1407.390
908,1422.780
909,1398.683
910,1411.183
911,1409.232
912,1414.659
913,1408.476
914,1414.220
915,1408.756
916,1421.537
917,1412.890
918,1407.683
919,1409.134
920,1408.012
921,1410.829
922,1402.488
923,1408.671
924,1416.305
925,1413.159
926,1413.512
927,1413.134
928,1415.780
929,1415.427
930,1408.780
931,1412.854
932,1403.634
933,1413.585
934,1408.037
935,1413.402
936,1408.049
937,1415.085
938,1404.561
939,1417.305
940,1414.122
941,1409.707
942,1423.549
943,1410.890
944,1410.256
945,1409.354
946,1412.683
947,1409.085
948,1409.988
949,1411.890
950,1412.427
951,1410.915
952,1410.988
953,1401.183
954,1411.805
955,1412.476
956,1404.232
957,1414.012
958,1410.451
959,1412.427
960,1398.146
961,1401.463
962,1417.268
963,1406.902
964,1407.646
965,1412.854
966,1397.707
967,1405.829
968,1397.207
969,1403.817
970,1402.659
971,1410.134
972,1404.817
973,1403.768
974,1406.012
975,1402.805
976,1406.366
977,1409.098
978,1407.134
979,1399.244
980,1400.122
981,1402.524
982,1407.061
983,1405.780
984,1405.768
985,1398.902
986,1403.488
987,1412.659
988,1404.000
989,1407.793
990,1403.768
991,1391.244
992,1393.854
993,1395.415
994,1394.366
995,1396.305
996,1402.146
997,1397.866
998,1395.622
999,1400.317
1000,1397.878
1001,1403.378
1002,1402.573
1003,1393.402
1004,1394.768
1005,1392.061
1006,1399.402
1007,1389.037
1008,1399.354
1009,1392.024
1010,1387.732
1011,1384.256
1012,1387.805
1013,1392.866
1014,1381.415
1015,1383.537
1016,1401.305
1017,1400.756
1018,1384.256
1019,1395.354
1020,1393.476
1021,1390.524
1022,1388.720
1023,1388.854
1024,1392.329
1025,1383.780
1026,1400.268
1027,1398.976
1028,1393.366
1029,1380.988
1030,1386.683
1031,1384.354
1032,1384.256
1033,1382.683
1034,1366.585
1035,1384.915
1036,1392.415
1037,1389.073
1038,1384.671
1039,1384.854
1040,1378.256
1041,1381.878
1042,1388.146
1043,1386.427
1044,1389.366
1045,1376.634
1046,1384.561
1047,1385.537
1048,1377.683
1049,1375.915
1050,1374.659
1051,1378.476
1052,1374.841
1053,1377.134
1054,1364.805
1055,1374.183
1056,1383.037
1057,1377.427
1058,1388.378
1059,1377.756
1060,1377.720
1061,1360.439
1062,1381.707
1063,1377.463
1064,1374.902
1065,1376.037
1066,1370.793
1067,1375.720
1068,1377.512
1069,1373.610
1070,1374.756
1071,1378.915
1072,1376.549
1073,1378.817
1074,1375.793
1075,1354.122
1076,1377.524
1077,1367.793
1078,1367.549
1079,1357.841
1080,1356.049
1081,1363.976
1082,1362.817
1083,1365.634
1084,1369.402
1085,1361.134
1086,1360.293
1087,1361.780
1088,1373.439
1089,1369.085
1090,1369.561
1091,1353.780
1092,1363.878
1093,1362.451
1094,1359.683
1095,1367.768
1096,1365.000
1097,1356.110
1098,1365.024
1099,1361.134
1100,1355.622
1101,1343.683
1102,1356.000
1103,1357.659
1104,1355.902
1105,1357.244
1106,1346.195
1107,1340.402
1108,1345.695
1109,1340.354
1110,1350.610
1111,1344.707
1112,1351.854
1113,1352.329
1114,1349.098
1115,1349.610
1116,1350.268
1117,1350.244
1118,1336.037
1119,1343.037
1120,1352.988
1121,1350.073
1122,1339.402
1123,1350.805
1124,1340.341
1125,1339.256
1126,1344.183
1127,1335.756
1128,1332.878
1129,1337.463
1130,1336.427
1131,1342.366
1132,1335.622
1133,1324.329
1134,1347.927
1135,1330.098
1136,1332.866
1137,1331.805
1138,1336.000
1139,1322.476
1140,1324.976
1141,1329.024
1142,1334.720
1143,1328.683
1144,1326.061
1145,1328.476
1146,1314.390
1147,1320.305
1148,1322.378
1149,1316.744
1150,1319.317
1151,1323.549
1152,1328.280
1153,1325.122
1154,1318.890
1155,1321.378
1156,1309.293
1157,1310.159
1158,1310.720
1159,1314.829
1160,1304.317
1161,1323.183
1162,1313.976
1163,1305.183
1164,1300.671
1165,1305.317
1166,1301.720
1167,1296.341
1168,1294.220
1169,1289.293
1170,1284.451
1171,1304.451
1172,1290.707
1173,1289.780
1174,1285.366
1175,1282.268
1176,1292.988
1177,1283.732
1178,1279.098
1179,1287.110
1180,1277.829
1181,1266.293
1182,1271.524
1183,1257.744
1184,1256.232
